	en	fr	es	el
forensic_card_dct_report	The Discrete Cosine Transform is an integral part of JPEG compression and leaves distinct traces on the image. When tampering takes place in a JPEG image, the DCT coefficients may be locally disturbed. Regions that stand out (yellow or red) against a blue background may correspond to tampering. The reverse may also hint towards a tampering, i.e. certain regions appearing bluer against a bright background.	La transformation de cosinus discrète fait partie intégrante de la compression JPEG et laisse des traces distinctes sur l'image. Lorsque l'altération a lieu dans une image JPEG, les coefficients DCT peuvent être perturbés localement. Les régions qui se distinguent (jaune ou rouge) sur un fond bleu peuvent correspondre à une altération. L'inverse peut également indiquer une altération, c'est-à-dire que certaines régions apparaissent plus bleues sur un fond clair.	La transformación de coseno discreta es una parte integral de la compresión JPEG y deja huellas claras en la imagen. Cuando se produce una manipulación en una imagen JPEG, los coeficientes DCT pueden verse perturbados localmente. Las regiones que sobresalen (amarillas o rojas) sobre un fondo azul pueden corresponder a la manipulación. El reverso también puede sugerir una manipulación, es decir, ciertas regiones que aparecen más azules sobre un fondo brillante.	Ο Διακριτός Μετασχηματισμός Συνημιτόνου (Discrete Cosine Transform) είναι ένα εγγενές κομμάτι της διαδικασίας συμπίεσης κατά JPEG, το οποίο αφήνει διακριτά σημάδια στην εικόνα. Όταν συμβεί μια παραποίηση σε μια εικόνα JPEG, οι συντελεστές του μετασχηματισμού DCT μπορεί να διαταραχθούν τοπικά. Περιοχές που ξεχωρίζουν (με κίτρινο ή κόκκινο) απέναντι σε μπλε παρασκήνιο μπορεί να αντιστοιχούν σε παραποίηση. Το αντίστροφο μπορεί επίσης να υπονοεί παραποίηση, δηλαδή περιοχές να εμφανίζονται μπλε μπροστά από φωτεινό (κίτρινο) παρασκήνιο.
forensic_card_cagiNormal	JPEG compression operates in an 8-by-8 grid, which is near-invisible but detectable. Adding or moving an object on an image may locally disrupt this grid. The GRIDS algorithm seeks such discrepancies, and highlights them locally. The algorithm produces local red/orange “blobs” where it detects grid discrepancies. Generally, the GRIDS algorithm is less distracted by textures in the image, and focuses on grid disturbances. However, it should mostly be interpreted in combination with other outputs that highlight the same regions.	La compression JPEG fonctionne dans une grille de 8 par 8, qui est presque invisible mais détectable. L'ajout ou le déplacement d'un objet sur une image peut perturber localement cette grille. L'algorithme GRIDS recherche de telles divergences et les met en évidence localement. L'algorithme produit des ''blobs'' rouges/orange locaux où il détecte les divergences de grille. En général, l'algorithme GRIDS est moins distrait par les textures de l'image et se concentre sur les perturbations de la grille. Toutefois, elle doit être interprétée principalement en combinaison avec d'autres filtres qui mettent en évidence les mêmes régions.	La compresión JPEG funciona en una cuadrícula de 8 por 8, que es casi invisible pero detectable. Agregar o mover un objeto en una imagen puede interrumpir localmente esta cuadrícula. El algoritmo GRIDS busca tales discrepancias y las resalta localmente. El algoritmo produce ''manchas'' locales de color rojo/naranja en las que detecta las discrepancias de la red. Generalmente, el algoritmo GRIDS está menos distraído por las texturas de la imagen y se centra en las perturbaciones de la rejilla. Sin embargo, debe interpretarse en su mayor parte en combinación con otros filtros que destacan las mismas regiones.	Η συμπίεση JPEG εφαρμόζεται σε ένα πλέγμα 8x8, το οποίο είναι σχεδόν μη ορατό αλλά ανιχνεύσιμο. Η προσθήκη ή μετακίνηση ενός αντικειμένου σε μια εικόνα μπορεί να διαταράξει αυτό το πλέγμα. Ο αλγόριθμος CAGI αναζητά τέτοιες διαταραχές και τις τονίζει τοπικά. Ο αλγόριθμος παράγει κόκκινες/πορτοκαλί περιοχές στα σημεία που ανιχνεύει διαταραχές του πλέγματος. Γενικά, ο αλγόριθμος δεν επηρεάζεται πολύ από υφές στην εικόνα και εστιάζει στις διαταραχές πλέγματος. Παρόλα αυτά, θα πρέπει να ερμηνεύεται σε συνδυασμό με τα αποτελέσματα άλλων αλγορίθμων που τονίζουν τις ίδιες περιοχές.
forensic_card_cagiInversed	JPEG compression operates in an 8-by-8 grid, which is near-invisible but detectable. Adding or moving an object on an image may locally disrupt this grid. The GRIDS-Inverse algorithm is complementary to GRIDS in seeking such discrepancies. The algorithm produces local blue “blobs” where it detects grid discrepancies. Generally, the GRIDS algorithm is less distracted by textures in the image, and focuses on grid disturbances. However, it should mostly be interpreted in combination with other algorithm outputs that highlight the same regions.	La compression JPEG fonctionne dans une grille de 8 par 8, qui est presque invisible mais détectable. L'ajout ou le déplacement d'un objet sur une image peut perturber localement cette grille. L'algorithme GRIDS-Inverse est complémentaire de GRIDS dans la recherche de telles divergences. L'algorithme produit des ''blobs'' bleus locaux où il détecte les divergences de grille. En général, l'algorithme GRIDS est moins distrait par les textures de l'image et se concentre sur les perturbations de la grille. Cependant, elle doit être interprétée le plus souvent en combinaison avec d'autres sorties d'algorithmes qui mettent en évidence les mêmes régions.	La compresión JPEG funciona en una cuadrícula de 8 por 8, que es casi invisible pero detectable. Agregar o mover un objeto en una imagen puede interrumpir localmente esta cuadrícula. El algoritmo GRIDS-Inverse es complementario a GRIDS en la búsqueda de tales discrepancias. El algoritmo produce ''manchas'' azules locales donde detecta las discrepancias de la red. Generalmente, el algoritmo GRIDS está menos distraído por las texturas de la imagen y se centra en las perturbaciones de la rejilla. Sin embargo, debe ser interpretado en su mayor parte en combinación con otras salidas de algoritmo que resalten las mismas regiones.	Η συμπίεση JPEG εφαρμόζεται σε ένα πλέγμα 8x8, το οποίο είναι σχεδόν μη ορατό αλλά ανιχνεύσιμο. Η προσθήκη ή μετακίνηση ενός αντικειμένου σε μια εικόνα μπορεί να διαταράξει αυτό το πλέγμα. Ο αλγόριθμος CAGI-Inversed αναζητά συμπληρωματικές διαταραχές σε σχέση με τον CAGI και τις τονίζει τοπικά. Ο αλγόριθμος παράγει κόκκινες/πορτοκαλί περιοχές στα σημεία που ανιχνεύει διαταραχές του πλέγματος. Γενικά, ο αλγόριθμος δεν επηρεάζεται πολύ από υφές στην εικόνα και εστιάζει στις διαταραχές πλέγματος. Παρόλα αυτά, θα πρέπει να ερμηνεύεται σε συνδυασμό με τα αποτελέσματα άλλων αλγορίθμων που τονίζουν τις ίδιες περιοχές.
forensic_card_wavelet_report	Each image carries invisible, high-frequency noise that is the result of the capturing process as well as the compression. The Discrete Wavelet Noise algorithm filters the image and calculates the local noise distribution at each part of the image. Regions that differ from the rest of the image are highlighted in strong red, and are likely to originate from other images. As this algorithm is often misguided by differences in texture and focus, it is best interpreted in combination with other algorithms.	Chaque image est porteuse d'un bruit invisible à haute fréquence qui est le résultat du processus de capture ainsi que de la compression. L'algorithme de bruit d'ondelettes discrètes filtre l'image et calcule la distribution locale du bruit à chaque partie de l'image. Les régions qui diffèrent du reste de l'image sont surlignées en rouge vif et sont susceptibles de provenir d'autres images. Comme cet algorithme est souvent mal guidé par des différences de texture et de focalisation, il est préférable de l'interpréter en combinaison avec d'autres filtres.	Cada imagen lleva un ruido invisible de alta frecuencia que es el resultado del proceso de captura así como de la compresión. El algoritmo Discrete Wavelet Noise filtra la imagen y calcula la distribución local del ruido en cada parte de la imagen. Las regiones que difieren del resto de la imagen se resaltan en rojo intenso y es probable que se originen en otras imágenes. Como este algoritmo a menudo se confunde por las diferencias de textura y enfoque, se interpreta mejor en combinación con otros filtros.	Κάθε εικόνα μεταφέρει αόρατο θόρυβο υψηλής συχνότητας που είναι το αποτέλεσμα της διαδικασίας σύλληψης και συμπίεσης της εικόνας. Ο αλγόριθμος με βάση το Θόρυβο Διακριτού Κυματιδίου (Discrete Wavelet Noise) εφαρμόζει ένα ψηφιακό φίλτρο στην εικόνα και υπολογίζει την τοπική κατανομή του θορύβου στην εικόνα. Περιοχές που διαφέρουν από την υπόλοιπη εικόνα τονίζονται με ισχυρό κόκκινο και είναι πιθανό να προέρχονται από άλλες εικόνες. Καθώς όμως ο αλγόριθμος συχνά παραπλανείται από διαφορές στην υφή και την εστίαση, είναι ασφαλέστερο το αποτέλεσμα του αλγορίθμου να ερμηνεύεται σε συνδυασμό με τα αποτελέσματα άλλων αλγορίθμων.
forensic_card_blk_report	JPEG compression operates in an 8-by-8 grid, which is near-invisible but detectable. Adding or moving an object on an image may locally disrupt this grid. The BLOCK algorithm detects the image grid and looks for local discrepancies. Any coherent region with different color to its surroundings may correspond to tampering, although reds and yellows against a blue background are the most typical indication of tampering. As this algorithm is often misguided by differences in texture and focus, it is best interpreted in combination with other algorithms.	La compression JPEG fonctionne dans une grille de 8 par 8, qui est presque invisible mais détectable. L'ajout ou le déplacement d'un objet sur une image peut perturber localement cette grille. L'algorithme BLOCK détecte la grille d'image et recherche les divergences locales. Toute région cohérente avec une couleur différente de celle de son environnement peut correspondre à une altération, bien que les rouges et les jaunes sur fond bleu soient l'indication la plus typique d'une altération. Comme cet algorithme est souvent mal guidé par des différences de texture et de focalisation, il est préférable de l'interpréter en combinaison avec d'autres filtres.	La compresión JPEG funciona en una cuadrícula de 8 por 8, que es casi invisible pero detectable. Agregar o mover un objeto en una imagen puede interrumpir localmente esta cuadrícula. El algoritmo BLOCK detecta la cuadrícula de la imagen y busca discrepancias locales. Cualquier región coherente con un color diferente al de su entorno puede corresponder a la manipulación, aunque los rojos y amarillos sobre un fondo azul son la indicación más típica de manipulación. Como este algoritmo a menudo se confunde por las diferencias de textura y enfoque, se interpreta mejor en combinación con otros filtros.	Η συμπίεση JPEG εφαρμόζεται σε ένα πλέγμα 8x8, το οποίο είναι σχεδόν μη ορατό αλλά ανιχνεύσιμο. Η προσθήκη ή μετακίνηση ενός αντικειμένου σε μια εικόνα μπορεί να διαταράξει αυτό το πλέγμα. Ο αλγόριθμος BLOCK ανιχνεύει το πλέγμα της εικόνας και αναζητά για τοπικές διαταραχές. Οποιαδήποτε συνεχής περιοχή με διαφορετικά χρώματα σε σχέση με τον περίγυρό της μπορεί να θεωρηθεί ύποπτη για παραποίηση, κυρίως όμως τα κόκκινα και κίτρινα χρώματα μπροστά από μπλε παρασκήνιο.  Καθώς όμως ο αλγόριθμος συχνά παραπλανείται από διαφορές στην υφή και την εστίαση, είναι ασφαλέστερο το αποτέλεσμα του αλγορίθμου να ερμηνεύεται σε συνδυασμό με τα αποτελέσματα άλλων αλγορίθμων.
forensic_card_ghost_report	The JPEG Ghosts algorithm is based on recompressing the image in multiple different qualities and subtracting each of them from the original. The resulting difference images are post-processed to highlight regions that stand out and are likely to originate from a different JPEG image. Then, the images most likely to contain interesting findings are selected (i.e. those that feature localized inconsistencies). Consistent yellow regions against a blue background may correspond to traces of tampering, especially if they do not correspond to edges, but to entire regions.	L'algorithme JPEG Ghosts est basé sur la recompression de l'image en plusieurs qualités différentes et la soustraction de chacune d'elles de l'original. Les images résultantes de cette différence sont post-traitées pour mettre en évidence les régions qui se distinguent et sont susceptibles de provenir d'une image JPEG différente. Ensuite, les images les plus susceptibles de contenir des résultats intéressants sont sélectionnées (c'est-à-dire celles qui présentent des incohérences localisées). Des zones jaunes constantes sur fond bleu peuvent correspondre à des traces d'altération, surtout si elles ne correspondent pas à des bords, mais à des zones entières.	El algoritmo JPEG Ghosts se basa en recomprimir la imagen en múltiples calidades diferentes y restar cada una de ellas del original. Las imágenes de las diferencias resultantes se procesan posteriormente para resaltar las regiones que destacan y que probablemente se originen a partir de una imagen JPEG diferente. Luego, se seleccionan las imágenes que tienen más probabilidades de contener hallazgos interesantes (es decir, aquellas que presentan inconsistencias localizadas). Las regiones amarillas consistentes sobre un fondo azul pueden corresponder a rastros de manipulación, especialmente si no corresponden a bordes, sino a regiones enteras.	Ο αλγόριθμος με χρήση Ανακωδικοποίησης και Αφαίρεσης (JPEG GHOST) βασίζεται στην επανασυμπίεση της εικόνας σε πολλαπλές διαφορετικές ποιότητες και στην αφαίρεση της κάθε μίας από την αρχική. Οι παραγόμενες εικόνες διαφοράς υποβάλλονται σε επεξεργασία για να τονίσουν τις περιοχές που διαφέρουν και πιθανό προέρχονται από διαφορετικές JPEG εικόνες. Στη συνέχεια, επιλέγονται οι εικόνες που είναι πιο πιθανό να περιέχουν ενδιαφέροντα ευρύματα. Ξεκάθαρες κίτρινες περιοχές μπροστά από μπλε παρασκήνιο αντιστοιχούν σε ίχνη παραποίησης, ειδικά αν δεν αντιστοιχούν σε ακμές αλλά σε ολόκληρες περιοχές.
applied_filter	Applied filter :	filtre appliqué :	Filtro aplicado :	Εφαρμοσμένο φίλτρο:
apply_filter	apply filter	appliquer le filtre	aplicar filtro	Εφαρμογή του φίλτρου
forensic_title_none	None	Aucun	Ninguno	Κανένας
clear_filter	Clear Filter	Enlever le filtre	Retirar el Filtro	Απαλοιφή φίλτρου
forensic_ratio_b_landscape	Portrait	Portrait	Retrato	πορτρέτου
forensic_ratio_b_portrait	Landscape	Paysage	Paisaje	τοπίου
forensic_title_cmfd_report	CMFD	CMFD	CMFD	CMFD
forensic_title_dct_report	DCT	DCT	DCT	DCT
forensic_title_fusion_report	FUSION	FUSION	FUSION	FUSION
forensic_title_mantranet_report	Mantranet	Mantranet	Mantranet	Mantranet
forensic_title_splicebuster_report	Splicebuster	Splicebuster	Splicebuster	Splicebuster
forensic_title_zero_report	Zero	Zero	Zero	Zero
forensic_title_laplacian_report	Laplacian	Laplacian	Laplacian	Laplacian
forensic_title_rcmfd_report	RCMFD	RCMFD	RCMFD	RCMFD
forensic_family_compression_title	Compression	Compression	Compresión	συμπίεση
forensic_family_compression_description	They detect anomalies in previous processes of creation and compression of the image. If a new element has been removed or added to the image, it can be detected if it has a different compression than the rest of the image.	Ils détectent les anomalies dans les processus antérieurs de création et de compression de l'image. Si un nouvel élément a été supprimé ou ajouté à l'image, il peut être détecté si la zone correspondante a une compression différente du reste de l'image.	Detectan anomalías en los procesos anteriores de creación y compresión de la imagen. Si se ha eliminado o añadido un nuevo elemento a la imagen, se puede detectar si la zona correspondiente tiene una compresión diferente a la del resto de la imagen.	Εντοπίζουν ανωμαλίες σε προηγούμενες διαδικασίες της δημιουργίας και της συμπίεσης της εικόνας. Εάν ένα νέο στοιχείο έχει αφαιρεθεί ή προστεθεί στην εικόνα, να μπορεί να ανιχνευθεί αν έχει διαφορετικό συμπίεσης από το υπόλοιπο της εικόνας.
forensic_family_compression_look	Combination of multiple filters that highlight in red a common area of the image.	Combinaison de plusieurs filtres qui mettent en évidence en rouge une zone commune de l'image.	Combinación de varios filtros que resaltan en rojo un espacio común de la imagen.	Συνδυασμός πολλαπλών φίλτρων που τονίζουν το κόκκινο μια κοινή περιοχή της εικόνας.
forensic_family_compression_ignore	Complex textures of an object or saturated areas of the photo can generate false positives.	Les textures complexes d'un objet ou des zones saturées de la photo peuvent générer des faux positifs.	Las texturas complejas de un objeto o las áreas saturadas de la foto pueden generar falsos positivos.	Συγκρότημα υφή ενός αντικειμένου ή κορεσμένες περιοχές της φωτογραφίας μπορεί να δημιουργήσει ψευδώς θετικά.
forensic_family_noise_title	Noise	Bruit	Ruido	Θόρυβος
forensic_family_noise_description	They detect differences of noise (grain) in different sections of the image. If a new element has been added to the image, it can be detected if it has a different amount of noise than the rest of the image.	Ils détectent les différences de bruit (grain) dans les différentes zones de l'image. Si un nouvel élément a été ajouté à l'image, il peut être détecté si il y a une quantité de bruit différent de celui du reste de l'image.	Detectan diferencias de ruido (grano) en diferentes zonas de la imagen. Si un nuevo elemento ha sido añadido a la imagen, que puede ser detectado si tiene una cantidad diferente de ruido que el resto de la imagen.	Εντοπίζουν τις διαφορές του θορύβου (κόκκου) σε διαφορετικά τμήματα της εικόνας. Εάν ένα νέο στοιχείο έχει προστεθεί στην εικόνα, μπορεί να ανιχνευθεί αν έχει ένα διαφορετικό ποσό του θορύβου από το υπόλοιπο της εικόνας.
forensic_family_noise_look	Highlighted areas in red of a clear section of the image.	Les zones surlignées en rouge d'une section claire de l'image.	Las áreas resaltadas en rojo de una zona clara de la imagen.	Τόνισε περιοχές σε κόκκινο σαφούς τμήμα της εικόνας.
forensic_family_noise_ignore	Complex textures of an object or saturated areas of the photo (black or white sections) can generate false positives.	Les textures complexes d'un objet ou les zones saturées de la photo (zones noires ou blanches) peuvent générer des faux positifs.	Las texturas complejas de un objeto o las áreas saturadas de la foto (zonas negras o blancas) pueden generar falsos positivos.	Συγκρότημα υφές ενός αντικειμένου ή κορεσμένα περιοχές της φωτογραφίας (μαύρο ή άσπρο τμήματα) μπορεί να δημιουργήσει ψευδώς θετικά.
forensic_family_ai_title	Deep learning	Deep learning	Deep learning	Deep learning
forensic_family_ai_description	They use Artificial intelligence methods to detect modifications of the images with a system that has been trained with a big number of examples of fake images.	Ils utilisent des méthodes d'intelligence artificielle pour détecter les modifications dans les images avec un système qui a été entraîné avec un grand nombre d'exemples de fausses images.	Utilizan métodos de inteligencia artificial para detectar modificaciones de las imágenes con un sistema que ha sido entrenado con un gran número de ejemplos de imágenes falsas.	Χρησιμοποιούν Μέθοδοι τεχνητής νοημοσύνης για τον εντοπισμό τροποποιήσεις των εικόνων με ένα σύστημα που έχει εκπαιδευτεί με ένα μεγάλο αριθμό παραδειγμάτων των εικόνων ψεύτικο.
