	en	fr	es	el	hy
lang_tr	Turkish	Turc	Turco	Τούρκικα	Թուրքերեն
lang_ru	Russian	Russe	Ruso	Ρώσικα	Ռուսերեն
lang_nl	Dutch	Néerlandais	Holandés	Ολλανδικά	Հոլանդերեն
lang_hi	Hindi	Indou	Hindú	Χίντι	Հինդի
lang_no	Norwegian	Norvégien	Noruego	Νορβηγικά	Նորվեգերեն
lang_sv	Swedish	Suédois	Sueco	Σουηδικά	Շվեդերեն
lang_fi	Finnish	Finlandais	Finlandés	Φινλανδικά	Ֆիններեն
lang_da	Danish	Danois	Danés	Δανικά	Դանիերեն
lang_pl	Polish	Polonais	Polaco	Πολωνικά	Լեհերեն
lang_hu	Hungarian	Hongrois	Húngaro	Ούγγρικα	Հունգարերեն
lang_fa	Farsi	Persan	Farsi	Φαρσί	Պարսկերեն
lang_he	Hebrew	Hébreu	Hebreo	Εβραϊκά	Եբրայերեն
lang_ur	Urdu	Ourdou	Urdu	Ουρντού	Ուրդու
lang_th	Thai	Thaï	Tailandés	Ταϊλανδέζικα	Թայերեն
button_submit	Submit	Envoyer	Enviar	Υποβολή	Վերլուծել
default_sna_error	Twitter analysis failed due to an unknown cause.	L'analyse de Twitter a été interrompue pour une raison inconnue.	El análisis de Twitter se ha interrumpido por una causa desconocida.	Η ανάλυση του Twitter απέτυχε λόγω άγνωστης αιτίας.	Twitter-ի վերլուծությունը ձախողվեց անհայտ պատճառի պատճառով:
twitterSnaErrorMessage	An error occurred while processing tweets	Une erreur s'est produite lors du traitement des tweets	Se produjo un error en el procesamiento de tweets	Παρουσιάστηκε σφάλμα κατά την επεξεργασία των tweets	Թվիթները մշակելիս սխալ է տեղի ունեցել
top_users_pie_chart_title	Most active users	Utilisateurs les plus actifs	Usuarios más activos	Πιο ενεργοί χρήστες	Առավել ակտիվ օգտվողներ
mention_cloud_chart_title	Most mentioned accounts	Compte les plus mentionnés	Usuarios más mencionados	Λογαριασμοί που έχουν αναφερθεί πιο πολύ	Նշված հաշիվները
user_time_chart_title	Propagation timeline	Frise chronologique de propagation	Línea de tiempo de propagación	Χρονοδιάγραμμα διάδοσης	Propagation Timeline
hashtag_graph_title	Most associated hashtags	Hashtags les plus associés	Hashtags más Asociados	Πιο σχετικά hashtag	Առավել հարակից հեշթագներ
retweets_cloud_chart_title	Most retweeted users	Utilisateurs les plus retweetés	Usuarios más retweeteados	Χρήστες που έχουν γίνει περισσότερο retweet	Վերափոխված օգտվողների մեծ մասը
likes_cloud_chart_title	Most liked users	Utilisateurs les plus likés	Usuarios con más likes	Χρήστες που εχουν γίνεi περισσότερο like	Առավել դուր եկած օգտվողները
top_words_cloud_chart_title	Most used words in tweets	Mots les plus utilisés dans les tweets	Palabras más utilizadas en tweets	Λέξεις που χρησιμοποιήθηκαν πιο πολύ στα tweets	Ամենաշատ օգտագործված բառերը թվիթերում
tweetCounter_title	Tweets number	Nombre de tweets	Número de Tweet	Αριθμος tweets	Թվիթերների համարը
sosem_graph_title	Socio-semantic graph (hashtags and mentioned users)	Graphe socio-sémantique (hashtags et utilisateurs mentionnés)	Grafo socio-semantico (hashtags y usuarios mencionados)	Κοινωνικο-σημασιολογικό γράφημα (hashtag και αναφερόμενοι χρήστες)	Սոցիալ-իմաստաբանական գրաֆիկ (հեշթագներ և նշված օգտվողներ)
sosem_4mode_graph_title	Socio-semantic graph (hashtags, URLs, mentions, quoted RTs, unedited RTs, replies)	Graphe socio-sémantique (hashtags, URLs, mentions, RTs, RTs avec commentaire, réponses)	Grafo socio-semantico (hashtags, URLs, mencionados, RTs, RTs con comentarios, respuestas)	Κοινωνικο σημασιολογικό γράφημα (hashtag, URLs, αναφορές, RT, RT με σχόλιο, απαντήσεις)	Սոցիալ-իմաստաբանական գրաֆիկ (հեշթագներ, URLS, նշումներ, մեջբերված RTS, Unedited RTS, պատասխաններ)
account_creation_date_chart_title	Count of account creation date chart	Graphique des créations de compte	Gráfico de fechas de creación de cuentas	Διάγραμμα των ημερομηνιών δημιουργίας λογαριασμών	Հաշվի ստեղծման ամսաթվի աղյուսակի հաշվարկ
bubble_chart_title	Bubble chart of top 100 most active accounts	Graphique des 100 comptes les plus actifs	Gráfico de las 100 cuentas más activas	Διάγραμμα φυσαλίδων με τους 100 πιο ενεργούς λογαριασμούς	Թոփ 100 ամենաակտիվ հաշիվների պղպջակների գծապատկեր
user_graph_title	User accounts graph	Graphe de comptes utilisateurs	Grafo de cuentas de usuarios	ράφημα λογαριασμών χρηστών	Օգտագործողի հաշիվների գրաֆիկ
export_graph_title	Export Interaction graph (gexf format)	Exporter un graphe des interactions au format Gexf	Exportar el grafo de interacciones en formato Gexf	Εξαγωγή γραφήματος αλληλεπίδρασης (μορφή gexf)	Արտահանման փոխազդեցության գրաֆիկ (GEXF ձևաչափ)
heatmap_chart_title	Heatmap of tweets distribution	Cartographie d'activité	Mapa de actividad	Heatmap της διανομής των tweets	Թվիթերի բաշխման ջերմապաշար
elastic_url	Url	Url	Url	Σύνδεσμος	Url
elastic_count	Number	Nombre	Candidad	Αριθμός	Թիվ
twittersna_result_username	Username	Nom d'utilisateur	Nombre de usuario	Όνομα χρήστη	Օգտագործողի անունը
twittersna_result_date	Date	Date	Fecha	Ημερομηνία	Ժամադրություն
twittersna_result_tweet	Tweet	Tweet	Tweet	Tweet	Թվիտ
twittersna_result_retweet_nb	Retweet number	Nombre de retweets	Candidad de retweets	Αριθμός Retweets	Retweet համարը
twittersna_result_like_nb	Like number	Nombre de likes	Candidad de ''me gusta''	Αριθμός likes	Հավի համար
twittersna_result_hide	Hide	Fermer	Ocultar	Απόκρυψη	Թաքցնել
twittersna_result_download	Download	Télécharger	Descargar	Λήψη	Ներբեռնեք
twittersna_result_slected_tweets	Selected Tweets	Tweets selectionnés	Tweets seleccionados	Επιλεγμένα Tweets	Ընտրված թվիթեր
twittersna_result_url_in_tweets	Urls in tweets	Urls dans les tweets	Urls en tweets	Urls στα tweets	URL-ները թվիթերում
twittersna_result_go_to	Go to url	Ouvrir le lien	Ir a la pagina	Μετάβαση στη διεύθυνση url	Գնացեք URL
twittersna_result_go_to_tweet	Go to tweet	Ouvrir le tweet	Ir a tweet	Μετάβαση στο tweet	Գնացեք Tweet
twittersna_result_download_png	Download as PNG	Télécharger en tant que PNG	Descargar como PNG	Λήψη ως PNG	Ներբեռնեք որպես PNG
twittersna_result_download_svg	Download as SVG	Télécharger en tant que SVG	Descargar como SVG	Λήψη ως SVG	Ներբեռնեք որպես SVG
twittersna_result_word	Word	Mot	Palabra	Λέξη	Բանաձեվ
twittersna_result_nb_occ	Number of occurrences	Nombre d'occurrences	Cantidad de ocurrencias	Αριθμός εμφανίσεων	Տարրությունների քանակը
twittersna_result_entity	Named entity	Entité nommée	Entidad nombrada	Ονομαζόμενη οντότητα	Անունով կազմակերպություն
twittersna_no_data	No data available	Aucune donnée disponible	Datos no disponibles	Δεν υπάρχουν διαθέσιμα δεδομένα	Ոչ մի տվյալ չկա
user_placeholder	user	utilisateur	usuario	χρήστης	օգտվող
twittersna_counting_words	Counting Words	Comptage des mots	Contando palabras	Μέτρηση λέξεων	Հաշվիչ բառեր
twittersna_fetching_tweets	Fetching tweets	Récupération des tweets	Recuperando tweets	Λήψη tweets	Ձեռք բերելու թվիթեր
twittersna_building_graphs	Building graphs	Construction des graphes	Construyendo el gráfico	Δημιουργία γραφημάτων	Շենքերի գծապատկերներ
twittersna_result_submit_twitter_sna	Submit to Twitter SNA	Envoyer à Twitter SNA	Enviar a Twitter SNA	Υποβολή στο Twitter SNA	Ներկայացրեք Twitter SNA-ին
twittersna_result_view_graph	View graph	Voir le graphe	Ver el grafo	Προβολή γραφήματος	Դիտեք գրաֆիկը
twittersna_no_community	No community detected	Pas de communauté détectée	No se encontro comunidad	Δεν εντοπίστηκε κοινότητα	Ոչ մի համայնք չի հայտնաբերվել
twittersna_acd	Account Creation Date	Date de création du compte	Fecha de creación de la cuenta	Ημερομηνία δημιουργίας λογαριασμού	Հաշվի ստեղծման ամսաթիվը
twittersna_nb_followers	Number of followers	Nombre d'abonnés	Número de abonados	Αριθμός ακολούθων	Հետևորդների քանակը
disable_cache	Disable cache	Désactiver le cache	Desactivar el caché	απενεργοποίηση προσωρινής μνήμης	Անջատեք քեշը
twittersna_invalid_credentials	Invalid authentication information	Les informations d'authentification ne sont pas valables	La información de autenticación no es válida	Μη έγκυρη πληροφόρηση αυθεντικοποίησης	Անվավեր վավերացման տեղեկատվություն
twittersna_start	Loading	Chargement	Cargando	Φόρτωση	Բեռնում
cardheader_parameters	Parameters	Paramètres	Parámetros	Παράμετροι	Պարամետրեր
explanation_keyword	Element to search, it can be a keyword, a URL or a Hastag	Élément à rechercher, il peut s'agir d'un mot-clé, d'une URL ou d'un hastag	Elemento para buscar, puede ser una palabra clave, una URL o una agonía	Στοιχείο για αναζήτηση, μπορεί να είναι μια λέξη-κλειδί, μια διεύθυνση URL ή ένα hastag	Որոնման տարրը կարող է լինել հիմնաբառ, URL կամ HASTAG
explanation_dates	Dates between the tweets were analyzed for the search term indicated	Les dates entre les tweets ont été analysées pour le terme de recherche indiqué	Las fechas entre los tweets fueron analizadas para el término de búsqueda indicado	Οι ημερομηνίες μεταξύ των Tweets αναλύθηκαν για τον όρο αναζήτησης που υποδεικνύεται	Թվիթերի միջև ամսաթվերը վերլուծվել են նշված որոնման տերմինի համար
explanation_timezone	Specify the time zone of the dates introduced before	Spécifiez le fuseau horaire des dates introduites avant	Especifique la zona horaria de las fechas introducidas antes.	Καθορίστε τη ζώνη ώρας των ημερομηνιών που εισάγονται πριν	Նշեք նախկինում ներկայացված ամսաթվերի ժամային գոտին
explanation_exclude	Specify words that you don’t want to analyze in the search results	Spécifiez des mots que vous ne voulez pas analyser dans les résultats de la recherche	Especifique palabras que no desea analizar en los resultados de búsqueda	Καθορίστε λέξεις που δεν θέλετε να αναλύσετε στα αποτελέσματα αναζήτησης	Նշեք բառերը, որոնք դուք չեք ցանկանում վերլուծել որոնման արդյունքներում
explanation_language	Specify the language in which the tweets are going to be analyzed	Spécifiez la langue dans laquelle les tweets vont être analysés	Especifique el idioma en el que se analizarán los tweets.	Καθορίστε τη γλώσσα στην οποία θα αναλυθούν τα tweets	Նշեք այն լեզուն, որում կվերլուծվեն թվիթերը
explanation_account	Specify the twitter account whose tweets are going to be analyzed	Spécifiez le compte Twitter dont les tweets vont être analysés	Especifique la cuenta de Twitter cuyos tweets se analizarán	Καθορίστε τον λογαριασμό Twitter του οποίου θα αναλυθούν τα tweets	Նշեք Twitter-ի հաշիվը, որի թվիթերը կվերլուծվեն
explanation_verified	Specify if you only want to analyze tweets of verified accounts	Spécifiez si vous voulez seulement analyser les tweets des comptes vérifiés	Especifique si solo desea analizar tweets de cuentas verificadas	Καθορίστε εάν θέλετε μόνο να αναλύσετε τα tweets των επαληθευμένων λογαριασμών	Նշեք, արդյոք դուք միայն ցանկանում եք վերլուծել ստուգված հաշիվների թվիթեր
explanation_media	Specify the media elements that you want to analyze	Spécifiez les éléments de support que vous souhaitez analyser	Especifique los elementos de medios que desea analizar.	Καθορίστε τα στοιχεία πολυμέσων που θέλετε να αναλύσετε	Նշեք լրատվամիջոցների տարրերը, որոնք ցանկանում եք վերլուծել
explanation_cache	Specify if you want to ignore the caché of the server and process the search as a new one	Spécifiez si vous souhaitez ignorer le caché du serveur et traiter la recherche en tant que nouvelle	Especifique si desea ignorar el Caché del servidor y procese la búsqueda como una nueva	Καθορίστε εάν θέλετε να αγνοήσετε την Caché του διακομιστή και να επεξεργαστείτε την αναζήτηση ως ένα νέο	Նշեք, արդյոք ցանկանում եք անտեսել սերվերի Caché-ը և որոնել որոնումը որպես նոր
twittersna_searchparameters	Search parameters	Paramètres de recherche	Parámetros de búsqueda	Παράμετροι αναζήτησης	Որոնման պարամետրեր
twittersna_title_timezone	Time zone of the dates	Fuseau horaire des dates	Zona horaria de las fechas	Ζώνη ώρας των ημερομηνιών	Ամսաթվերի ժամային գոտի
twittersna_title_optional	Optional parameters	Paramètres facultatifs	Parámetros opcionales	Προαιρετικές παράμετροι	Ընտրովի պարամետրեր
twittersna_title_words	Words	Mots	Palabras	Λόγια	Բառեր
twittersna_title_accounts	Accounts	Comptes	Cuentas	Λογαριασμοί	Հաշիվներ
twittersna_title_media	Media	Médias	Medios de comunicación	Μεσο ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ	Լրատվամիջոց
twittersna_title_advanced	Advanced tools	Outils avancés	Herramientas avanzadas	Προχωρημένα Εργαλεία	Ընդլայնված գործիքներ
twitter_sna_searchelement	Search element	Élément de recherche	Elemento de búsqueda	Στοιχείο αναζήτησης	Որոնման տարր
twitter_sna_selectdate	Select a date	Sélectionnez une date	Seleccione una fecha	Επιλέξτε μια ημερομηνία	Ընտրեք ամսաթիվ
twitter_sna_placholder_tweetedby	Twitter account name	Nom du compte Twitter	Nombre de la cuenta de Twitter	Όνομα λογαριασμού Twitter	Twitter հաշվի անվանումը
tweet_similarity_title	Tweet Similarity	Similarité des tweets	Tweet similitud	Tweet Ομοιότητα	Tweet նմանություն
twittersna_title_time	Time	Temps	Hora	χρόνος	Ժամանակ
twittersna_title_elements	Search elements	Éléments de recherche	Elementos de búsqueda	Στοιχεία αναζήτησης	Որոնման տարրեր
explanation_allelements	All the elements in this field must appear in the search results	Tous les éléments de ce champ doivent apparaître dans les résultats de la recherche	Todos los elementos en este campo deben aparecer en los resultados de búsqueda	Όλα τα στοιχεία σε αυτό το πεδίο πρέπει να εμφανίζονται στα αποτελέσματα αναζήτησης	Այս ոլորտում բոլոր տարրերը պետք է հայտնվեն որոնման արդյունքներում
explanation_anyelements	At least one of the elements of this field must appear in the search results	Au moins un des éléments de ce champ doit apparaître dans les résultats de la recherche	Al menos uno de los elementos de este campo debe aparecer en los resultados de búsqueda	Τουλάχιστον ένα από τα στοιχεία αυτού του πεδίου πρέπει να εμφανίζεται στα αποτελέσματα αναζήτησης	Այս դաշտի առնվազն մեկը պետք է հայտնվի որոնման արդյունքներում
twittersna_field_all	All the elements	Tous les éléments	Todos los elementos	Όλα τα στοιχεία	Բոլոր տարրերը
twittersna_field_any	Any of the elements	L'un des éléments	Cualquiera de los elementos	Οποιοδήποτε από τα στοιχεία	Ցանկացած տարր
