	en	fr	es	el	ar
table_header_screen_name	Screen Name	Nom de l'écran	Nombre de pantalla	Όνομα οθόνης	الاسم الذي سيظهر
table_header_tweets	Tweets	Tweet	Tweets	Tweets	تغريدات
table_header_url	URL	URL	Url	Url	عنوان URL
table_header_appearances	Appearances	Les apparences	Apariciones	Εμφανίσματα	ظهور
stance_support	Support	Soutien	Apoyo	Υποστήριξη	الدعم
stance_query	Query	Requete	Consulta	Ερώτηση	استفسار
stance_deny	Disapprove	Désapprouver	Desaprobar	Αποδοκιμάζω	رفض
stance_comment	Comment	Commenter	Comentario	Σχόλιο	تعليق
contains_hashtags	Hashtag	Hashtag	Hashtag	Hashtag	الوسم
contains_user_mentions	User mention	Mentionner l'utilisateur	Mención de usuarios	Ο χρήστης αναφέρει	الإشارة إلى المستخدم
contains_urls	URL or media	URL ou média	URL o Medios	URL ή μέσα ενημέρωσης	عنوان URL أو الوسائط
user_overview	Joined Twitter on the ${this.state.created_at} - ${this.state.account_age} days ago	Rejoint Twitter sur le $ {this.state.created_at} - $ {this.state.account_age} il y a quelques jours	Se unió a Twitter en el $ {esta.state.created_at} - $ {este.state.account_age} hace	Προσχώρησε στο Twitter στο $ {Thatate.Created_AT} - $ {This.State.Account_age} Ημέρες πριν	انضم إلى Twitter على $ {this.state.created_at} - $ {this.state.account_age} منذ أيام
the_hashtags	Hashtags	Hashtags	Etiquetas	Hashtags	الوسومات
the_people	Users	Utilisateurs	Usuarios	Χρήστες	المستخدمون
the_urls	URLs	URL	URLS	Urls	عناوين URL
more_tweets_prefix	It is likely that we are still collecting and processing replies for this tweet. You can	Il est probable que nous collections toujours et que nous traitons des réponses pour ce tweet. Tu peux	Es probable que todavía estemos recopilando y procesando respuestas para este Tweet. Usted puede	Είναι πιθανό ότι εξακολουθούμε να συλλέγουμε και να επεξεργαζόμαστε απαντήσεις για αυτό το tweet. Μπορείς	ما زلنا قيد عملية جمع ومعالجة الردود لهذه التغريدة. 
more_tweets_suffix	the page to check for more replies.	la page pour vérifier plus de réponses.	La página para verificar más respuestas.	τη σελίδα για να ελέγξετε για περισσότερες απαντήσεις.	الصفحة للتحقق من وجود المزيد من الردود
filter_by	Filter by	Filtrer par	Filtrado por	Φιλτράρισμα κατά	مصنف بواسطة
replies_filter_stance	Categories	Catégories	Categorías	Κατηγορία	الفئات
replies_filter_contain	Contains	Contenir	Contiene	Περιέχει	يحتوي على
replies_filtered	${conversation.number_of_replies.toLocaleString()} Tweets (${filterPercent.toFixed().toLocaleString()}%)	$ {conversation.number_of_replies.tolocalestring ()} Tweets ($ {filtrepercent.tofixed (). Tolocalestring ()}%)	$ {conversation.number_of_replies.tolocalessring ()} tweets ($ {filtercent.tofixed (). TolocalesTring ()}%)	$ {conversation.number_of_replies.tolocalestring ()} tweets ($ {filterpercent.tofixed (). TolocalEstring ()}%)	$ {محادثة
hashtags_summary	${hashtagCount} of the selected replies contain the hashtag #${hashtag}.	$ {hashtagcount} des réponses sélectionnées contiennent le hashtag # $ {HASHTAG}.	$ {Hashtagcount} de las respuestas seleccionadas contienen el hashtag # $ {hashtag}.	$ {hashtagcount} των επιλεγμένων απαντήσεων περιέχουν το hashtag # $ {hashtag}.	 {hashtagcount} من الردود المحددة تحتوي على علامة وسم # {hashtag}.
hashtags_view_on_twitter	View hashtag on Twitter	Voir hashtag sur Twitter	Ve Hashtag en Twitter	Προβολή Hashtag στο Twitter	عرض الوسم على تويتر
tweets_loading	Loading...	Chargement...	Cargando...	Φόρτωση...	قيد التحميل
tweets_all	That's all the replies, so far...	C'est toutes les réponses, jusqu'à présent ...	Esas son todas las respuestas, hasta ahora ...	Αυτές είναι όλες οι απαντήσεις, μέχρι στιγμής ...	هذه كل الردود، حتى الآن ...
refresh_reloading	reloading...	Rechargement ...	Recarga ...	Επαναφόρτωση ...	إعادة التحميل ...
refresh_countdown	Page will automatically reload in ${seconds}s	La page rechargera automatiquement en $ {secondes} s	La página se volverá a cargar automáticamente en $ {segundos} s	Η σελίδα θα επαναφόρτωση αυτόματα σε $ {δευτερόλεπτα} s	سيتم إعادة تحميل الصفحة تلقائيًا في $ {Seconds} s
user_homepage	Homepage	Page d'accueil	Página principal	Αρχική σελίδα	الصفحة الرئيسية
user_following	Following	Suivant	Siguiente	ΕΠΟΜΕΝΟ	مُتابَعون (أشخاص أو حسابات أتابعها)
user_followers	Followers	Suiveurs	Seguidores	Οπαδοί	متابِعون
user_tweets	Tweets	Tweet	Tweets	Tweets	تغريدات
user_lists	Lists	Listes	Liza	Τόπος αγώνων	قوائم
user_tweets_average	Tweets/Day	Tweets / jour	Tweets / día	Tweets / ημέρα	تغريدات/يوم
hashtags_none	There are no hashtags within the selected replies	Il n'y a pas de hashtags dans les réponses sélectionnées	No hay hashtags dentro de las respuestas seleccionadas.	Δεν υπάρχουν hashtags μέσα στις επιλεγμένες απαντήσεις	لا توجد وسومات  ضمن الردود المحددة
urls_none	There are no URLs within the selected replies	Il n'y a pas d'URL dans les réponses sélectionnées	No hay URL dentro de las respuestas seleccionadas.	Δεν υπάρχουν διευθύνσεις URL στις επιλεγμένες απαντήσεις	لا توجد عناوين URL ضمن الردود المحددة
distribution_piechart	Distribution by categories	Distribution par catégories	Distribución por categorías	Διανομή ανά κατηγορίες	التوزيع حسب الفئات
distribution_histogram	Distribution over time	Distribution au fil du temps	Distribución a lo largo del tiempo	Διανομή με την πάροδο του χρόνου	التوزيع حسب الوقت
tooltip_piechart	We automatically assign one of four possible labels to each reply based on how they support, refute, query, or just comment on the Tweet. This pie chart shows the proportion of these labels across all the replies to this Tweet, which we have processed so far.	Nous attribuons automatiquement l'une des quatre étiquettes possibles à chaque réponse en fonction de la prise en charge, de réfuter, de la requête ou de commentaire sur le Tweet. Ce graphique à secteurs montre la proportion de ces étiquettes sur toutes les réponses à ce tweet, que nous avons traitées jusqu'à présent.	Asignamos automáticamente una de las cuatro etiquetas posibles a cada respuesta según la forma en que admiten, refutar, consultar, o simplemente comentar en el Tweet. Este gráfico circular muestra la proporción de estas etiquetas en todas las respuestas a este Tweet, que hemos procesado hasta ahora.	Αντιμετωπίζουμε αυτόματα μια από τις τέσσερις πιθανές ετικέτες σε κάθε απάντηση με βάση τον τρόπο υποστήριξης, να αντικρούσει, να το ζητήσει ή απλά να σχολιάσει το tweet. Αυτό το διάγραμμα πίτας δείχνει το ποσοστό αυτών των ετικετών σε όλες τις απαντήσεις σε αυτό το tweet, το οποίο έχουμε επεξεργαστεί μέχρι στιγμής.	نقوم تلقائيًا بتعيين واحدة من أربع ملصقات محتملة لكل رد بناءً على كيفية دعمها أو دحضها أو الاستعلام عنها أو التعليق عليها فقط على التغريدة. يعرض المخطط الدائري هذا نسبة هذه الملصقات عبر جميع الردود على هذه التغريدة، والتي قمنا بمعالجتها حتى الآن.
tooltip_histogram	This histogram shows how the replies, and thier labels, occur over time. Initially we show 7 days after the tweet, but you can select a different time period by dragging the axis or range selector.	Cet histogramme montre comment les réponses, et leurs étiquettes, surviennent avec le temps. Initialement, nous montrons 7 jours après le Tweet, mais vous pouvez sélectionner une période de temps différente en faisant glisser l'axe ou le sélecteur de plage.	Este histograma muestra cómo las respuestas, y sus etiquetas, ocurren con el tiempo. Inicialmente, mostramos 7 días después del Tweet, pero puede seleccionar un período de tiempo diferente arrastrando el eje o el selector de rango.	Αυτό το ιστόγραμμα δείχνει τον τρόπο με τον οποίο οι απαντήσεις και οι ετικέτες Ther, εμφανίζονται με την πάροδο του χρόνου. Αρχικά παρουσιάζουμε 7 ημέρες μετά το Tweet, αλλά μπορείτε να επιλέξετε μια διαφορετική χρονική περίοδο σύροντας τον επιλογέα άξονα ή εύρους.	يوضح هذا الرسم البياني كيف تحدث الردود والعلامات الخاصة بهم بمرور الوقت. في البداية، يتم العرص بعد 7 أيام من التغريد، ولكن يمكنك تحديد فترة زمنية مختلفة عن طريق سحب المحور أو محدد النطاق.
tooltip_responses	This section allows you to explore the replies to the Tweet, including the ability to filter the replies to allow you to focus on certain types or content.	Cette section vous permet d'explorer les réponses au Tweet, y compris la possibilité de filtrer les réponses pour vous permettre de vous concentrer sur certains types ou contenus.	Esta sección le permite explorar las respuestas al Tweet, incluida la capacidad de filtrar las respuestas para permitirle centrarse en ciertos tipos o contenido.	Αυτή η ενότητα σάς επιτρέπει να εξερευνήσετε τις απαντήσεις στο Tweet, συμπεριλαμβανομένης της δυνατότητας φιλτράυσης των απαντήσεων για να σας επιτρέψει να εστιάσετε σε ορισμένους τύπους ή περιεχομένου.	يتيح لك هذا القسم استكشاف الردود على تغريدة، بما في ذلك القدرة على تصفية الردود للسماح لك بالتركيز على أنواع أو محتوى معين.
statistics_known	Known Replies	Réponses connues	Respuestas conocidas	Γνωστές απαντήσεις	ردود معروفة
statistics_processed	Processed Replies	Réponses traitées	Respuestas procesadas	Επεξεργασμένες απαντήσεις	ردود معالجة
statistics_filtered	Filtered Replies	Réponses filtrées	Respuestas filtradas	Φιλτραρισμένες απαντήσεις	الردود المصفاة (مفلترة)
