	en	fr	es	el	ar
text_intro	The following text has been found on the page	Le texte suivant a été trouvé sur la page	El siguiente texto ha sido encontrado en la página	Το κείμενο που ακολουθεί έχει βρεθεί στη σελίδα	تم العثور على النص التالي في الصفحة
dbkf_title	DBKF Check	Vérification avec la base DBKF	Comprobar DBKF	DBKF Έλεγχος	فحص DBKF
expand_text	Expand Text	Etendre le texte	ampliar el texto	Επέκταση Κείμενο	توسيع النص
dbkf_error	An issue has occurred when trying to connect to the database of known fakes. Some results may be omitted from this page. If the problem persists, please contact support.	Problème de connexion avec la base de données de faux connus. Quelques résultats de cette page peuvent manquer. Si le problème persiste, contactez s'il vous plait le support via le bouton feedback.	Un problema ha ocurrido al intentar conectarse a la base de datos de falsificaciones conocidas. Algunos resultados pueden ser omitidas de esta página. Si persiste el problema, póngase en contacto con el boton de feedback.	Ένα ζήτημα έχει συμβεί, όταν προσπαθεί να συνδεθεί με τη βάση δεδομένων των γνωστών προϊόντων απομίμησης. Ορισμένα αποτελέσματα μπορεί να παραληφθεί από αυτή τη σελίδα. Αν το πρόβλημα παραμένει, παρακαλώ επικοινωνήστε με την υποστήριξη.	حدثت مشكلة عند محاولة الاتصال بقاعدة بيانات المواد المزيفة المعروفة. قد يتم حذف بعض النتائج من هذه الصفحة. إذا استمرت المشكلة، يرجى التواصل مع الدعم الفني.
sc_failed	The source credibility check has failed. Some results may not be displayed. If the problem persists, please contact support.	La vérification de la crédibilité de la source a échoué. Certains résultats ne peuvent pas être affichés. Si le voyant reste des problèmes, s'il vous plaît contactez le support.	La comprobación de credibilidad de la fuente ha fallado. Algunos resultados pueden no mostrarse. Si persiste el problema, póngase en contacto de apoyo.	Ο έλεγχος της αξιοπιστίας πηγή απέτυχε. Ορισμένα αποτελέσματα ενδέχεται να μην εμφανίζονται. Αν το πρόβλημα παραμένει, παρακαλώ επικοινωνήστε με την υποστήριξη.	فشل فحص مصداقية المصدر. قد لا يتم عرض بعض النتائج. إذا استمرت المشكلة، يرجى التواصل مع الدعم الفني.
link_tooltip	<b>What is this?</b></br>The scores displayed in this section give an indication of how reliable the web source listed can be considered. Scores range from 0-100.</br></br>In most cases, the source checked for credibility will be the URL domain. In some cases where this is not useful a more relevant part of the URL has been checked against. In all cases, the full URL and the domain against which the source credibility check was carried on are listed in the form URL : domain-for-check. </br></br><b>How are these calculated?</b></br>Various institutions analyse sources (particularly domains) across the web to evaluate how reliable they are likely to be based on various metrics.</br>Here, datasets assessing web domain reliability have been pulled mainly from Open Sources and the WeVerify DBKF database.</br>Since the metrics or scores from each of these sources do not necessarily overlap and cannot easily be compared, all scores from any given institution are mapped to a single number between 0-100.</br>For any URL, a list of all institutions which gave the relevant domain a score has been listed, along with the (mapped) results they gave.</br>The final result displayed for any domain is the lowest score from the various sources.</br>	<b> Qu'est-ce que c'est ? </b> </br> Les scores affichés dans cette section donnent une indication de la fiabilité peut être considérée comme la source la liste Web pour être. Les scores vont de 0-100. </br> </br> Dans la plupart des cas, la source vérifiée pour sa crédibilité sera le domaine d'URL. Dans certains cas où cela n'est pas usefu une partie plus pertinente de l'URL a été vérifiée par rapport. Dans tous les cas, l'URL complète et le domaine sur lequel la vérification de la crédibilité de la source a été réalisée sont répertoriées sous la forme URL: domaine pour vérification. </br> </br> <b> Comment sont-ils calculés? </b> </br> Diverses institutions analysent les sources (en particulier domaines) à travers le Web pour évaluer la fiabilité qu'ils sont susceptibles d'être basés sur différents paramètres. </br> ici, la fiabilité des ensembles de données évaluant de domaine web proviennenet notamment de Open Sources et de la base DBKF.  </br> Étant donné que les paramètres ou les scores de chacune de ces sources ne se recouvrent pas nécessairement et ne peuvent pas facilement être comparés,  les résultats sont indiqués avec un numéro unique entre 0-100. </br> pour toute URL, une liste de toutes les institutions qui ont repéré ce nom de domaine est présentée. </br> le résultat final affiché pour chaque domaine est le score le plus bas des différentes sources. </br>	<b> ¿ Qué es esto ? </b> </br> Las puntuaciones de esta sección tratan de dar una indicación del grado de fiabilidad de la fuente web que se consulta. Las puntuaciones van de 0-100. </br> </br> En la mayoría de los casos, la fuente comprueba la credibilidad con el dominio de la URL. En algunos casos en los que esto no es útil se puede contrastar con una parte más relevante de la URL. En todos los casos, la URL completa y el dominio contra el cual la credibilidad de la fuente de verificación se evaluan. </br> </br> <b> ¿ Cómo se calcula ? </ b> </br> Diversas instituciones analizan las fuentes (en particular dominios) a través de la web para evaluar el grado de fiabilidad que es probable que se basan en diferentes métricas. </br> a continuación, los conjuntos de datos que evalúan la fiabilidad del dominio web han sido sacados principalmente de fuentes abiertas y la base de datos WeVerify DBKF. </br> desde las métricas o las puntuaciones de cada una de estas fuentes no necesariamente se superponen y no pueden ser fácilmente comparados, todas las puntuaciones se asignan con un único número entre 0-100. </br> para cualquier URL, una lista de todas las instituciones que dieron el dominio relevante una puntuación ha sido incluido, junto con el (mapeado) los resultados que daban. </br> el resultado final muestra para cualquier dominio es la puntuación más baja de las diversas fuentes. </br>	<B> Τι είναι αυτό; </ b> </br> Τα αποτελέσματα που εμφανίζονται σε αυτό το τμήμα δίνουν μια ένδειξη για το πόσο αξιόπιστη είναι η πηγή ιστού που αναφέρονται μπορεί να θεωρηθεί. Παρτιτούρες κυμαίνονται από 0-100. </br> </br> Στις περισσότερες περιπτώσεις, η πηγή ελέγχονται για την αξιοπιστία θα είναι ο τομέας URL. Σε ορισμένες περιπτώσεις όπου αυτό δεν είναι χρήσιμο ένα πιο σχετικό μέρος του URL έχει ελεγχθεί κατά. Σε όλες τις περιπτώσεις, η πλήρης διεύθυνση και ο τομέας κατά την οποία ο έλεγχος της αξιοπιστίας πηγή πραγματοποιήθηκε στις παρατίθενται με τη μορφή URL: domain-για-έλεγχο. </br> </br> <b> Πώς αυτά υπολογίζονται; </ b> </br> Διάφορα ιδρύματα αναλύουν πηγές (κυρίως περιοχές) σε όλο τον ιστό για να αξιολογήσει πόσο αξιόπιστη είναι πιθανό να βασίζεται σε διάφορες μετρήσεις. < / br> Εδώ, έχουν σύνολα δεδομένων την αξιολόγηση της αξιοπιστίας domain web έχουν τραβηχτεί κυρίως από ανοικτές πηγές και τη βάση δεδομένων WeVerify DBKF. </br> από τις μετρήσεις ή αποτελέσματα από κάθε μία από αυτές τις πηγές δεν πρέπει απαραίτητα επικάλυψη και δεν μπορούν εύκολα να συγκριθούν, όλα τα αποτελέσματα από κάθε συγκεκριμένο ίδρυμα αντιστοιχίζονται σε ένα μόνο αριθμό από το 0-100. </br> για οποιαδήποτε διεύθυνση URL, μια λίστα με όλα τα θεσμικά όργανα που έδωσε το σχετικό τομέα η βαθμολογία έχει καταχωρηθεί, μαζί με το (χαρτογραφηθεί) οδηγεί έδωσαν. </ br> το τελικό αποτέλεσμα εμφανίζεται για κάθε τομέα είναι η χαμηλότερη βαθμολογία από τις διάφορες πηγές. </br>	<b> ما هذا؟ </b> </br> تعطي الدرجات المعروضة في هذا القسم إشارة إلى مدى موثوقية مصدر الويب المدرج. تتراوح الدرجات من 0-100. </br> </br> في معظم الحالات، يكون المصدر الذي تم فحصه مصداقيته هو مجال URL. في بعض الحالات التي لا يكون فيها هذا مفيدًا، يتم فحص جزءٍ أكثر دلالة من عنوان URL. في جميع الحالات، يتم إدراج عنوان URL الكامل والمجال الذي تم فيه فحص مصداقية المصدر على الشكل التالي: عنوان URL-: المجال للتحقق. </br> </br> <b> كيف يتم حسابها؟ </b> </br> تقوم المؤسسات المختلفة بتحليل المصادر (خاصة المجالات) عبر الويب لتقييم مدى موثوقيتها التي من المحتمل أن تستند إلى مقاييس مختلفة. < /br>  هنا، تم سحب مجموعات البيانات التي تقيم موثوقية مجال الويب بشكل أساسي  من المصادر المفتوحة وقاعدة بيانات WeVerify DBKF.< /br> نظرا لأن المقاييس أو الدرجات من كل من هذه المصادر لا تتداخل بالضرورة ولا يمكن مقارنتها بسهولة ، يتم تعيين جميع الدرجات من أي مؤسسة معينة إلى رقم واحد بين 0-100. < /br> بالنسبة لأي عنوان URL ، تم إدراج قائمة بجميع المؤسسات التي أعطت النطاق ذي الصلة درجة ، إلى جانب النتائج (المعينة) التي قدموها. </br> النتيجة النهائية المعروضة لأي مجال هي أدنى درجة من المصادر المختلفة. </br>    <b>
media_title	Media	Media	Tipo de medio	Μεσο ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ	وسائل الإعلام
images_label	Images	Images	Imágenes	εικόνες	الصور
videos_label	Videos	Vidéos	Vídeos	Βίντεο	أشرطة فيديو
media_found	The following media has been found on the page	Les médias suivants ont été trouvés sur la page	Los siguientes medios se ha encontrado en la página	Τα ακόλουθα μέσα έχει βρεθεί στη σελίδα	تم العثور على الوسائط التالية على الصفحة
media_below	Select the media you would like to verify	Sélectionner le média que vous souhaitez vérifier	Seleccionar el tipo de media que quiere verificar	Επιλέξτε το μέσο που θέλετε να επαληθεύσετε	حدد الوسائط التي ترغب في التحقق منها
media_to_process	Media to Process	Média à analyser	Medios para procesar	Media με τη Μέθοδο	وسائط للمعالجة
assistant_error	An unexpected assistant error has occurred. If the problem persists, contact support.	Une erreur inattendue s'est produite. Si le problème persiste, contacter le support via le bouton de feedback.	Se ha producido un error inesperado. Si persiste el problema, póngase en contacto con el botón de feedback.	Παρουσιάστηκε μη αναμενόμενο σφάλμα βοηθός. Αν το πρόβλημα παραμένει, επικοινωνήστε με την υποστήριξη.	حدث خطأ غير متوقع في المساعد. إذا استمرت المشكلة، تواصل مع الدعم الفني
things_you_can_do_header	Potential Tools	Outils proposés	Herramientas propuestas	Πιθανές Εργαλεία	الأدوات المحتملة
things_you_can_do	Below are the tools you can use on this media type	Vous pouvez utiliser les outils ci-dessous avec ce type de média	A continuación se presentan las herramientas que puede utilizar en este tipo de medios	Παρακάτω είναι τα εργαλεία που μπορείτε να χρησιμοποιήσετε για αυτό το είδος των μέσων ενημέρωσης	فيما يلي الأدوات التي يمكنك استخدامها على نوع الوسائط هذه
navbar_analysis_image	Image Analysis	Analyse	Análisis	Ανάλυση	تحليل الصور
navbar_analysis_video	Video Analysis	Analyse	Análisis	Ανάλυση	تحليل الفيديو
navbar_keyframes	Keyframes	Images clés	Imágenes claves	βασικών καρέ	إطارات المفاتيح
navbar_thumbnails	Thumbnails	Imagettes	Miniaturas	μικρογραφίες	الصورة المصغرة
navbar_twitter	Tw. search	Recherche Tw.	Búsqueda Tw.	Tw. Αναζήτηση	TW. بحث
navbar_magnifier	Magnifier	Loupe	Lupa	μεγεθυντικός φακός	المكبر
navbar_metadata	Metadata	Metadonnées	Metadatos	μεταδεδομένα	البيانات الوصفية
navbar_rights	Video rights	Droits vidéo	Derechos video	Βίντεο δικαιώματα	حقوق الفيديو
navbar_forensic	Forensic	Forensic	Forensic	Δικανικός λυση	التحقق الرقمي للصور
navbar_ocr	OCR	OCR	OCR	OCR	OCR
navbar_twitter_sna	Fact Check	Factuel	Factual	γεγονός Έλεγχος	تدقيق المعلومة
navbar_assistant	Assistant	Assistant	Asistente	Βοηθός	المساعد
assistant_help_title	Assistant Help	Aide de l'Assistant	Ayuda del assistente	Βοηθός Βοήθεια	الدعم الفني
assistant_help_1	The WeVerify toolkit (this plugin) has multiple tools which can help in the verification of content on social networks, designed to help journalists save time and be more efficient in their fact checking tasks.<br>A full list of these tools can be found in the tutorial section of this plugin.<br>Given the multiple tools and services available, the weverify assistant has been designed to guide users to the services available to them given the nature of the content they would like to check.<br><br>	La boîte à outils WeVerify (ce plug-in) a plusieurs outils qui peuvent aider à la vérification du contenu sur les réseaux sociaux, destinés à aider les journalistes à gagner du temps et à être plus efficaces dans leur travail de vérification. <br> Vous trouverez une liste complète de ces outils dans la section tutoriel de ce plug-in. <br> Compte tenu des multiples outils et services disponibles, l'assistant WeVerify a été conçu pour guider les utilisateurs vers les services à leur disposition en fonction de la nature du contenu qu'ils souhaitent vérifier. <br> < br>	Este plugin WeVerify tiene varias herramientas diseñadas para periodistas con el objetivo de ayudarles a ahorrar tiempo y ser más eficientes en sus tareas de verificación de contenidos en las redes sociales. <br> Una lista completa de estas herramientas se puede encontrar en la sección de tutoriales de este plugin. <br> Dadas las múltiples herramientas y servicios disponibles, el asistente weverify ha sido diseñado para guiar a los usuarios a los servicios disponibles para cada medio que se quiere verificar.<br>< br>	Η εργαλειοθήκη WeVerify (αυτό το plugin) έχει πολλά εργαλεία που μπορούν να βοηθήσουν στον έλεγχο του περιεχομένου στα κοινωνικά δίκτυα, έχουν σχεδιαστεί για να βοηθήσει τους δημοσιογράφους Εξοικονομήστε χρόνο και να είναι πιο αποτελεσματική για τον έλεγχο των καθηκόντων πραγματικότητα τους. <br> Μια πλήρη λίστα των εργαλείων αυτών μπορεί να βρεθεί στο φροντιστήριο τμήμα αυτού του plugin. <br> Λαμβάνοντας υπόψη τα πολλαπλά εργαλεία και τις υπηρεσίες που είναι διαθέσιμες, η weverify βοηθός έχει σχεδιαστεί για να καθοδηγήσει τους χρήστες στις υπηρεσίες που είναι διαθέσιμες για να τους δοθεί η φύση του περιεχομένου που θα ήθελαν να ελέγξει. <br> < br>	تحتوي مجموعة أدوات WeVerify (هذا المكون الإضافي) على أدوات متعددة يمكن أن تساعد في التحقق من المحتوى على الشبكات الاجتماعية ، وهي مصممة لمساعدة الصحفيين على توفير الوقت وأن يكونوا أكثر كفاءة في مهام التحقق من الحقائق. <br>يمكن العثور على قائمة كاملة بهذه الأدوات في قسم البرنامج التعليمي لهذا المكون الإضافي. نظرا <br>للأدوات والخدمات المتعددة المتاحة ، تم تصميم مساعد weverify لتوجيه المستخدمين إلى الخدمات المتاحة لهم نظرا لطبيعة المحتوى الذي يرغبون في التحقق منه. <br><br>
assistant_help_2	<b>How does the assistant work?</b><br>Users can choose to upload their own media to be checked (an image or a video), in which case verification tools on the plugin which support media upload will be listed.<br>An alternative option is to enter a URL which needs verification or fact checking.<br>Once a URL in entered, the assistant attempts to extract any text, images or videos it can find on the page.<br>Any extracted text or media are then used to suggest the potential actions which can be carried out. Currently, there are three major components to this:<ul><li>Text Checks: displaying any text found on the page, and running a selection of post processing/verification tools against it</li><li>Media Checks: displaying any media found on the page, and if selected, giving the list of tools available on the WeVerify plugin to process selected media</li><li>Verification Checks: checks against elements of the URL which do not fall under either text or media, such as the domain of the website </li></ul>More information on each of these can be found in the links below.<br><br>	<b> Comment fonctionne l'assistant ? </b> <br> Les utilisateurs peuvent choisir de télécharger leurs propres fichiers de médias à vérifier (une image ou une vidéo), auquel cas les outils de vérification du plug-in qui permettent le téléchargement de fichiers de médias seront listés. <br> une autre option est d'entrer une URL que l'on veut vérifier. <br> Une l'URL renseignée, l'assistant tente d'extraire des textes, des images ou des vidéos qu'il peut trouver sur la page. <br> Tout texte extrait ou les médias sont ensuite utilisés pour suggérer les actions potentielles qui peuvent être réalisées. À l'heure actuelle, il y a trois composantes principales : <ul> <li> Vérification du texte : l'affichage du texte trouvé sur la page, et l'affichage des résultats d'une sélection d'outils de traitement / vérification sur ce texte. </ li> <li> Vérification des fichiers médias : affichage de tout média trouvé sur la page, et pour chaque fichier sélectionné, afficher la liste des outils disponibles sur le plug-in WeVerify pour traiter ces fichiers. </ li> <li> Contrôles de vérification: vérification d'éléments de l'URL qui ne font pas partie du texte ou des fichiers médias, comme le domaine du site </ li> </ ul> Plus d'informations sur chacun de ceux-ci peuvent être trouvés dans les liens ci-dessous. <br>	<b> ¿Cómo funciona el asistente ? </b> Los usuarios pueden optar por subir sus propios medios a comprobar (una imagen o un vídeo). En este caso,  se enumeran las herramientas de verificación del plugin que se permiten subir un fichero. <br> Una opción alternativa es introducir una URL que quiera verificar o comprobar. <br> Una vez introducida una URL, el asistente intentará extraer cualquier texto, imágenes o vídeos que puede encontrar en la página. <br> El texto extraído o los medios se utilizan para sugerir las posibles acciones que se pueden llevar a cabo. Actualmente, existen tres componentes principales para esto: <ul> <li> Chequeos de texto: visualizar cualquier texto que se encuentra en la página, y ejecutar una selección de herramientas de procesamiento de verificación </ li> <li> Chequeos de imágenes o vídeos : mostrar cualquier fichero de medio que se encuentré en la página, y si es seleccionado, se da una la lista de las herramientas disponibles en el plugin WeVerify para procesarlos. </ li> <li> Controles de verificación: chequeos contra elementos de la URL, más alla del texto o multimedia, tal como el dominio del sitio web. </ li> </ ul> Más información sobre cada uno de éstos se puede encontrar en los siguientes enlaces. <br>	<B> Πώς λειτουργεί το βοηθό δουλειά; </ b> <br> Οι χρήστες μπορούν να επιλέξουν να ανεβάσετε τα δικά τους μέσα ενημέρωσης να ελεγχθούν (μια εικόνα ή ένα βίντεο), στο οποίο η οποία θα αναγράφονται αποστολή την υποστήριξη των μέσων ενημέρωσης εργαλεία επαλήθευσης υπόθεση με το plugin . <br> μια εναλλακτική επιλογή είναι να εισάγετε μια διεύθυνση URL που χρειάζεται έλεγχο ή πραγματικότητα έλεγχο. <br> Μόλις μια διεύθυνση URL στο εισήλθε, τους βοηθούς προσπάθειες για την αφαίρεση των κειμένων, εικόνων ή βίντεο που μπορείτε να βρείτε στη σελίδα. <br> Οποιαδήποτε έχουν εξαχθεί κειμένου ή πολυμέσων στη συνέχεια χρησιμοποιούνται για να προτείνουν τις πιθανές ενέργειες που μπορούν να πραγματοποιηθούν. Επί του παρόντος, υπάρχουν τρία βασικά συστατικά σε αυτό: <ul> <li> Έλεγχοι Κείμενο: εμφανίζει οποιοδήποτε κείμενο που βρίσκεται στη σελίδα, και εκτελεί μια επιλογή των εργαλείων μετά την επεξεργασία / επαλήθευσης εναντίον </ li> <li> Media Έλεγχοι: εμφάνιση όλα τα μέσα μαζικής ενημέρωσης που βρίσκεται στη σελίδα και αν επιλεγεί, δίνοντας τη λίστα των διαθέσιμων εργαλείων για το plugin WeVerify στα μέσα ενημέρωσης διαδικασία επιλεγμένα </ li> <li> Οι έλεγχοι επαλήθευσης: έλεγχοι κατά τα στοιχεία της διεύθυνσης URL που δεν εμπίπτουν στο πεδίο εφαρμογής είτε κειμένου ή πολυμέσων , όπως η περιοχή του δικτυακού τόπου </ li> </ ul> Περισσότερες πληροφορίες για το καθένα από αυτά μπορεί να βρεθεί στα πιο κάτω συνδέσμους. <br> η	كيف يعمل المساعد؟<br> يمكن للمستخدمين اختيار تحميل وسائطهم الخاصة للتحقق منها (صورة أو فيديو)، وفي هذه الحالة سيتم عرض أدوات التحقق التي تدعم تحميل الوسائط.<br> بديل آخر هو إدخال عنوان URL الذي يحتاج إلى التحقق.<br> بمجرد إدخال عنوان URL، يحاول المساعد استخراج أي نصوص أو صور أو فيديوهات يمكن العثور عليها على الصفحة.<br> يتم استخدام ما استخرج لاقتراح الإجراءات المحتملة التي يمكن تنفيذها. حاليا، هناك ثلاث مكونات رئيسية لذلك:<ul><li>فحص النص: عرض أي نص يتم العثور عليه على الصفحة، وتشغيل مجموعة من أدوات معالجة / التحقق منها</li><li>فحص الوسائط: عرض الوسائط التي يتم العثور عليها على الصفحة، وإذا تم اختيارها، فإنه يعطي قائمة الأدوات المتاحة على ملحق WeVerify لمعالجة الوسائط المحددة</li><li>فحص التحقق: فحوصات ضد عناصر عنوان URL التي لا تندرج تحت نص أو وسائط، مثل نطاق موقع الويب </li></ul> يمكن العثور على مزيد من المعلومات حول كل من هذه المكونات في الروابط أدناه. <br> <br>
assistant_help_3	<b>Which URLS are supported?</b><br>Currently, there is dedicated support for links for the following types of URLs:<ul><li>Facebook photo or video posts</li><li>Twitter statuses</li><li>Youtube video links</li><li>Instagram posts</li><li>Tiktok posts</li><li>Dailymotion video links</li><li>Vimeo video links</li><li>Liveleak video links</li></ul> Other generic links can also be entered and the assistant will attempt to retrieve what it can. However, any results (particularly on the extraction of images and text) on generic links may be much more generalised.<br><br>	<b> Quelles URLS sont pris en charge ? </b> <br> Actuellement, il y a un soutien dédié aux liens pour les types d'URL suivants: <ul> <li> messages Facebook photo ou vidéo </ li> <li> statuts Twitter </ li> <li> liens vidéo Youtube </ li> <li> messages Instagram </ li> <li> messages TikTok </ li> <li> liens vidéo Dailymotion </ li> <li> liens vidéo Vimeo </ li> <li> liens vidéo LiveLeak </ li> </ ul> d'autres liens génériques peuvent également être saisis et l'assistant va tenter de récupérer ce qu'il peut. Cependant, aucun résultat (en particulier sur l'extraction des images et du texte) sur les liens génériques n'est garanti. <br>	<b> ¿Qué URL son compatibles </b> <br> En la actualidad, existe un apoyo específico a enlaces para los siguientes tipos de URL:? <ul> <li> Facebook (fotos y vídeos) </ li> <li> enlaces de Twitter </ li> <li> enlaces de Youtube </ li> <li> enlaces de Instagram </ li> <li> enlaces de TiKToK </ li> <li> enlaces de Dailymotion </ li> <li> enlaces de Vimeo </ li> <li> enlaces de vídeo de Liveleak </ li> </ ul> Otros enlaces genéricos también se pueden introducir y el asistente intentará recuperar lo que puede. Sin embargo, no se garantizan resultado alguno (particularmente en la extracción de imágenes y texto) en casos de enlaces genéricos. <br>	<B> τα οποία είναι URL υποστηρίζονται </ b> <br> Επί του παρόντος, δεν υπάρχει εξειδικευμένη υποστήριξη για τις συνδέσεις για τους ακόλουθους τύπους διευθύνσεων URL: <ul> <li> Facebook φωτογραφία ή ένα βίντεο δημοσιεύσεις </ li> <li> Twitter καταστάσεις </ li> <li> Youtube βίντεο συνδέσμους </ li> <li> Μηνύματα Instagram </ li> <li> Μηνύματα Tiktok </ li> <li> βίντεο συνδέσεις Dailymotion </ li> <li> Vimeo βίντεο συνδέσμους </ li> <li> Liveleak συνδέσεις βίντεο </ li> </ ul> Άλλες γενικές συνδέσεις μπορούν επίσης να εισαχθούν και ο βοηθός θα προσπαθήσει να ανακτήσει ό, τι μπορεί. Ωστόσο, όλα τα αποτελέσματα (κυρίως για την εξόρυξη εικόνες και κείμενο) για τα γενόσημα συνδέσεις μπορεί να είναι πολύ πιο γενικευμένη. <br> Η	<b> ما هي عناوين  URL المدعومة؟</b> <br>حاليا، هناك دعم مخصص للروابط للأنواع التالية من عناوين URL:<ul><li>صور فيسبوك أو منشورات الفيديو</li><li>حالات تويتر</li> روابط فيديو <li>يوتيوب</li> منشورات <li>انستغرام منشورات</li><li>تيك توك</li> روابط فيديو <li>ديلي موشن</li> روابط فيديو <li>Vimeo</li> روابط <li>فيديو Liveleak</li></ul> يمكن أيضا إدخال روابط عامة أخرى وسيحاول المساعد استرداد ما في وسعه. ومع ذلك، فإن أي نتائج (خاصة على استخراج الصور والنصوص) على الروابط العامة قد تكون أكثر تعميما. <br><br>
