	en	fr	es	el	
introduction_para5	You can consult the Tutorial page. There is a video explainer for each tool of the plug-in. If you are in trouble or if some of the tools is not working properly, use the feedback button on the right. Do not forget to give us your email address if you expect an answer and to provide a link if you have an issue with some particular media file.	Vous pouvez consulter la page de Tutoriel. Il y a une vidéo explicative pour chaque fonctionalité. Si vous rencontrez des difficultés ou si certains des outils ne fonctionnent pas correctement, utilisez le bouton Feedback à droite. N'oubliez pas de fournir votre adresse électronique si vous attendez une réponse et également un lien si vous avez un problème avec un fichier média en particulier.	Puede consultar la página de Tutorial. Hay un video explicativo para cada herramienta. Si sigue teniendo problemas o si alguna de las herramientas no funciona correctamente, utilice el botón de feedback a la derecha. No olvide de darnos una dirección de correo electrónico si espera una respuesta y de proporcionar un enlace si tiene algun problema con algún archivo multimedia en particular.	Μπορείτε να συμβουλευτείτε τη σελίδα Πρόγραμμα Αυτοδιδασκαλίας. Υπάρχει ένα βίντεο εξήγησης για κάθε εργαλείο της προσθήκης. Εάν αντιμετωπίζετε προβλήματα ή εάν κάποια από τα εργαλεία δεν λειτουργούν σωστά, χρησιμοποιήστε το κουμπί σχολίων στα δεξιά. Μην ξεχάσετε να μας δώσετε τη διεύθυνση email σας εάν περιμένετε απάντηση και να δώσετε έναν σύνδεσμο εάν έχετε κάποιο πρόβλημα με κάποιο συγκεκριμένο αρχείο πολυμέσων.	
classroom_teaching	Teaching	Enseignement	Enseñanza	Διδασκαλία	
classroom_gamification	Gamification	Jeu sérieux	Gamificación	Παιχνιδοποίηση	
gamification_url	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ecceb91f02ce30db69f0c5b	https://view.genial.ly/5ebd5bc232a04c0d96b6dbf3	https://view.genial.ly/5ebd550432a04c0d96b6da63	
teaching_url	https://docs.google.com/presentation/d/e/2PACX-1vTYjPP42BGGB5qmy1bdE3Bn0_Syj7AIP9GxL7PrErSKT5jq-j8f_BxWCQpFInjMrjyu9fzdUwz012T7/embed?start=false&loop=false&delayms=3000	https://docs.google.com/presentation/d/e/2PACX-1vQf24xk06KJgFBabG4gWXBHuzEfYvBcIF4kTQ3p4YMMFCpq98UvmpA9HBu4n88ZSBgPfCwXyHhFDLwG/embed?start=false&loop=false&delayms=3000	https://docs.google.com/presentation/d/e/2PACX-1vTinqJ3XhF8N8obwJhbzf4yukf8Ug7wtfiM0nlcxyUqfXqWQS2--wpiI7u054Im66bIRwKbRAAlIvp_/embed?start=false&loop=false&delayms=3000	https://docs.google.com/presentation/d/e/2PACX-1vTYjPP42BGGB5qmy1bdE3Bn0_Syj7AIP9GxL7PrErSKT5jq-j8f_BxWCQpFInjMrjyu9fzdUwz012T7/embed?start=false&loop=false&delayms=3000	
classroom_title	Classroom	Salle de cours	Aula	Αίθουσα	
classroom_title_1	Five ways to spot fake news (Quartz)	5 conseils pour débusquer les fakes news (Kombini)	¿Qué hacemos con tanta noticia falsa?	Πέντε τρόποι για να εντοπίσετε φευδείς ειδήσεις (Quartz)	
classroom_url_1	https://www.youtube.com/embed/y7eCB2F89K8?rel=0	https://www.youtube.com/embed/-5BoejLNc9A?rel=0	https://www.youtube.com/embed/-FI1Tv-R7ZA?rel=0	https://www.youtube.com/embed/y7eCB2F89K8?rel=0	
classroom_title_2	Helping students fighting disinformation	Comment vérifier une vidéo sur Facebook (France 24)	Guía para identificar noticias falsas	Βοηθώντας τους φοιτητές να καταπολεμήσουν την παραπληροφόρηση	
classroom_url_2	https://www.youtube.com/embed/xf8mjbVRqao?rel=0	https://www.youtube.com/embed/TgOpesGF-9g?rel=0	https://www.youtube.com/embed/Y42V_qjptLA?rel=0	https://www.youtube.com/embed/xf8mjbVRqao?rel=0	
classroom_title_3	How to spot fake news (Factcheck.org)	C'est quoi une fake news ? (1 jour, 1 question)	¿Cómo identificar noticias falsas en redes sociales para no confundir a la sociedad?	Πώς να εντοπίσετε ψευδείς ειδήσεις (Factcheck.org)	
classroom_url_3	https://www.youtube.com/embed/AkwWcHekMdo?rel=0	https://www.youtube.com/embed/pAa80STbngQ?rel=0	https://www.youtube.com/embed/WsbS4S5ehaU?rel=0	https://www.youtube.com/embed/AkwWcHekMdo?rel=0	
classroom_title_4	How disinformation works (WIRED)	Comment se répand une fausse information? (RTBF)	Conoce las noticias falsas que marcaron la agenda de este 2018	Πώς λειτουργεί η παραπληροφόρηση (WIRED)	
classroom_url_4	https://www.youtube.com/embed/frjITitjisY?rel=0	https://www.rtbf.be/embed/m?id=2149801&autoplay=0	https://www.youtube.com/embed/jDcI3akPjCE?rel=0	https://www.youtube.com/embed/frjITitjisY?rel=0	
classroom_title_5	Figthing disinformation in the classroom (CBC News)	C'est quoi une fake news ? (RTS)	El negocio de las noticias falsas	Καταπολεμώντας την παραπληροφόρηση μέσα στην τάξη (CBC News)	
classroom_url_5	https://www.youtube.com/embed/MeMp_E5dl4M?rel=0	https://www.rts.ch/play/tv/popupvideoplayer?id=9965541	https://www.youtube.com/embed/b78JI7-pEVY?rel=0	https://www.youtube.com/embed/MeMp_E5dl4M?rel=0	
remote_resources_title	Educational Resources	Ressources pédagogiques	Recursos educativos	Εκπαιδευτικοί πόροι	
user_resources_title	Your content	Votre contenu	Tu contenido	Το εκπαιδευτικό περιεχόμενο σας	
display	Display	Afficher	Visualización	Απεικόνιση	
user_resources_intro	This section allows you to broadcast your own lessons stored on Internet	Cet espace vous permet de diffuser vos propres contenus depuis le web.	Un espacio para enseñar	Esta sección le permite transmitir sus propios videos de Internet.	Αυτή η ενότητα σας επιτρέπει να μεταδίδετε τα δικά σας μαθήματα που είναι αποθηκευμένα στο Διαδίκτυο
user_resources_intro_remote	Enter the url of a YouTube, Twitter, Facebook public video or an website (see examples below):	Indiquez l'url d'une vidéo YouTube, Twitter, Facebook (public) ou un site web (voir les exemples ci-dessous):	Ponga la url de un video de YouTube, Twitter, Facebook (público) o un sitio web (ver ejemplos abajo):	Εισάγετε τη διεύθυνση URL ενός δημόσιου βίντεο στο YouTube, Twitter, Facebook ή ιστοσελίδας (δείτε παραδείγματα παρακάτω):	
api_input	Copy and paste a Youtube, Facebook or Twitter url	Copier et coller une adresse YouTube, Facebook ou Twitter	Copiar y pegar un enlace de YouTube, Facebook o Twitter	Αντιγραφή και επικόλληση ενός Youtube, Facebook ή Twitter URL	
close	Close	Fermer	Cerrar	Κλείσιμο	
game_resources_title	Gamification	Jeu sérieux	Gamificación	Παιχνιδοποίηση	
game_resources_intro	Serious game about using the verification plugin	Jeu sérieux sur l'utilisation de l'extension de vérification	Juego serio sobre el uso del plugin de verificación	Σοβαρό παιχνίδι σχετικά με τη χρήση της προσθήκης επαλήθευσης	
game_resources_url					
examples	Examples :	Exemples :	Ejemplos :	Παραδείγματα:	
youtube_example	Youtube: https://www.youtube.com/embed/5wRv8boqIEc	Youtube: https://www.youtube.com/embed/5wRv8boqIEc	Youtube: https://www.youtube.com/embed/5wRv8boqIEc	Youtube: https://www.youtube.com/embed/5wRv8boqIEc	
twitter_example	Twitter: https://video.twimg.com/amplify_video/1055750649462308866/vid/640x360/yqQIZj-jHZRxl0i2.mp4	Twitter: https://video.twimg.com/amplify_video/1055750649462308866/vid/640x360/yqQIZj-jHZRxl0i2.mp4	Twitter: https://video.twimg.com/amplify_video/1055750649462308866/vid/640x360/yqQIZj-jHZRxl0i2.mp4	Twitter: https://video.twimg.com/amplify_video/1055750649462308866/vid/640x360/yqQIZj-jHZRxl0i2.mp4	
website_example	Website: https://weverify.eu/verification-plugin/ 	Site web: https://weverify.eu/verification-plugin/	Sitio web: https://weverify.eu/verification-plugin/ 	Website: https://weverify.eu/verification-plugin/ 	
glossary_title	Glossary	Glossaire	Glosario	Γλωσσάριο	
glossary_word_1	fake news : 	infox : 	bulo :	Λέξη 1	
glosary_definition_1	false stories that appear to be news, spread on the internet or using other media, usually created to influence political views or as a joke (Cambridge dictionary)	Information mensongère ou délibérément biaisée, contribuant à la désinformation (Le Robert) ou information fallacieuse.	Noticia falsa propalada con algún fin. (RAE)	ορισμός 1	
glossary_word_2	disinformation :	désinformation :	desinformación :	Λέξη 2	
glosary_definition_2	false information spread in order to deceive people	Action particulière ou continue qui consiste, en usant de tous moyens, à induire un adversaire en erreur ou à favoriser chez lui la subversion dans le dessein de l'affaiblir (CNRTL).	Acción de dar información intencionadamente manipulada al servicio de ciertos fines. (RAE)	ορισμός 2	
glossary_word_3	misinformation : 	mésinformation : 	malinformación : 	Λέξη 3	
glosary_definition_3	wrong information (often unintentional), or the fact that people are misinformed. (from Cambridge Dict.)	une information fausse dont la diffusion n’est pas destinée à nuire (CoE).	información falsa difundida sin intención de engañar	ορισμός 3	
